COUNTY,MCD_NAME,MCD_ID,YEAR,POPULATION_ESTIMATE,TOTAL_KSI_RATE,PEDESTRIAN_KSI_RATE,BICYCLIST_KSI_RATE,TOTAL_KSI_RATE_5YR,PEDESTRIAN_KSI_RATE_5YR,BICYCLIST_KSI_RATE_5YR
Chester County,London Britain Township,4202944440,2020,3241,185.1,0.0,30.9,370.8,0.0,6.2
Chester County,Londonderry Township,4202944456,2020,2555,469.7,0.0,0.0,542.4,0.0,0.0
Chester County,London Grove Township,4202944480,2020,8849,452.0,0.0,0.0,511.3,6.8,4.6
Chester County,Lower Oxford Township,4202945040,2020,5094,667.5,0.0,0.0,592.2,0.0,3.9
Chester County,Malvern Borough,4202946792,2020,3457,0.0,0.0,0.0,127.8,23.2,0.0
Chester County,Modena Borough,4202950232,2020,534,0.0,0.0,0.0
Chester County,New Garden Township,4202953608,2020,12218,409.2,0.0,0.0,492.4,1.6,3.3
Chester County,Newlin Township,4202953784,2020,1347,519.7,0.0,0.0,548.7,0.0,29.7
Chester County,New London Township,4202953816,2020,5998,400.1,0.0,0.0,425.5,0.0,0.0
Chester County,North Coventry Township,4202954936,2020,8011,511.8,12.5,12.5,603.7,10.0,2.5
Chester County,Oxford Borough,4202957480,2020,5582,89.6,0.0,0.0,191.7,10.9,0.0
Chester County,Parkesburg Borough,4202958032,2020,3995,50.1,25.0,0.0,143.4,30.7,0.0
Chester County,Penn Township,4202958808,2020,5547,360.6,0.0,0.0,478.2,10.9,3.6
Chester County,Pennsbury Township,4202959136,2020,3657,492.2,0.0,0.0,636.2,5.5,16.5
Chester County,Phoenixville Borough,4202960120,2020,17010,117.6,5.9,11.8,211.9,28.4,8.3
Chester County,Pocopson Township,4202961800,2020,4796,104.3,0.0,20.9,373.0,0.0,12.4
Chester County,Sadsbury Township,4202967080,2020,4128,1065.9,0.0,0.0,786.4,4.9,4.9
Chester County,Schuylkill Township,4202968288,2020,8620,232.0,0.0,0.0,397.3,9.3,0.0
Chester County,South Coatesville Borough,4202972072,2020,1461,958.2,68.4,68.4,812.4,110.2,13.8
Chester County,South Coventry Township,4202972088,2020,2643,567.5,0.0,0.0,796.1,0.0,0.0
Chester County,Spring City Borough,4202972920,2020,3306,272.2,60.5,30.2,169.3,18.1,6.0
Chester County,Thornbury Township,4202976568,2020,3137,223.1,0.0,0.0,382.2,6.4,6.4
Chester County,Tredyffrin Township,4202977344,2020,29616,411.9,16.9,10.1,589.8,22.4,2.0
Chester County,Upper Oxford Township,4202979208,2020,2538,630.4,0.0,0.0,1019.0,23.7,7.9
Chester County,Upper Uwchlan Township,4202979352,2020,11866,134.8,0.0,0.0,312.0,1.7,3.4
Chester County,Uwchlan Township,4202979480,2020,18863,217.4,5.3,5.3,318.8,5.3,2.1
Chester County,Valley Township,4202979544,2020,7781,784.0,0.0,25.7,615.7,5.2,7.8
Chester County,Wallace Township,4202980616,2020,3675,544.2,27.2,0.0,571.1,10.9,0.0
Chester County,Warwick Township,4202981160,2020,2546,746.3,0.0,0.0,510.2,0.0,0.0
Chester County,West Bradford Township,4202982544,2020,13427,297.9,7.4,7.4,355.7,9.1,3.0
Chester County,West Brandywine Township,4202982576,2020,7496,240.1,0.0,0.0,492.4,2.7,0.0
Chester County,West Caln Township,4202982664,2020,9115,274.3,11.0,0.0,316.5,4.4,0.0
Chester County,West Chester Borough,4202982704,2020,20131,243.4,29.8,0.0,288.7,59.9,11.0
Chester County,West Fallowfield Township,4202982936,2020,2592,424.4,0.0,0.0,686.4,30.8,0.0
Chester County,West Goshen Township,4202983080,2020,22993,347.9,8.7,8.7,529.5,14.8,7.8
Chester County,West Grove Borough,4202983104,2020,2844,105.5,0.0,0.0,119.1,7.0,0.0
Chester County,West Marlborough Township,4202983464,2020,815,1717.8,0.0,0.0,2204.3,0.0,49.0
Chester County,West Nantmeal Township,4202983664,2020,2218,586.1,0.0,0.0,896.4,0.0,0.0
Chester County,West Nottingham Township,4202983712,2020,2710,996.3,36.9,0.0,663.9,7.4,0.0
Chester County,West Pikeland Township,4202983832,2020,4073,687.5,0.0,0.0,526.0,9.8,0.0
Chester County,West Sadsbury Township,4202983968,2020,2503,1238.5,0.0,0.0,1221.7,8.0,8.0
Chester County,Westtown Township,4202984104,2020,11023,199.6,0.0,0.0,356.8,7.3,0.0
Chester County,West Vincent Township,4202984160,2020,6514,122.8,0.0,15.4,291.3,0.0,6.9
Chester County,West Whiteland Township,4202984192,2020,20652,426.1,9.7,4.8,608.1,10.2,2.0
Chester County,Willistown Township,4202985352,2020,11009,145.3,0.0,18.2,393.7,10.9,5.5
Delaware County,Aldan Borough,4204500676,2020,4160,745.2,0.0,0.0,955.4,57.6,4.8
Delaware County,Aston Township,4204503336,2020,16741,262.8,0.0,0.0,322.7,8.4,1.2
Delaware County,Bethel Township,4204506024,2020,9283,269.3,0.0,0.0,329.9,2.2,0.0
Delaware County,Brookhaven Borough,4204509080,2020,8049,646.0,0.0,0.0,621.0,12.4,2.5
Delaware County,Chadds Ford Township,4204512442,2020,3727,751.3,0.0,0.0,1503.9,16.1,10.7
Delaware County,Chester City,4204513208,2020,33965,1333.7,70.7,5.9,924.4,52.4,10.6
Delaware County,Chester Township,4204513212,2020,4073,1031.2,24.6,0.0,884.0,34.4,0.0
Delaware County,Chester Heights Borough,4204513232,2020,2747,400.4,0.0,0.0,829.1,7.4,0.0
Delaware County,Clifton Heights Borough,4204514264,2020,6708,462.1,104.4,29.8,421.4,77.7,9.0
Delaware County,Collingdale Borough,4204515232,2020,8794,1023.4,34.1,22.7,659.3,38.6,11.4
Delaware County,Colwyn Borough,4204515432,2020,2555,195.7,39.1,0.0
Delaware County,Concord Township,4204515488,2020,17910,586.3,5.6,0.0,670.2,5.6,0.0
Delaware County,Darby Borough,4204518152,2020,10660,656.7,28.1,0.0,387.2,54.3,3.7
Delaware County,Darby Township,4204518160,2020,9282,53.9,0.0,0.0,129.3,6.5,0.0
Delaware County,East Lansdowne Borough,4204521384,2020,2671,37.4,0.0,0.0
Delaware County,Eddystone Borough,4204522296,2020,2412,414.6,41.5,0.0,736.6,33.1,0.0
Delaware County,Edgmont Township,4204522584,2020,4128,557.2,0.0,0.0,732.0,14.6,4.9
Delaware County,Folcroft Borough,4204526408,2020,6638,210.9,30.1,15.1,235.0,24.1,6.0
Delaware County,Glenolden Borough,4204529720,2020,7164,781.7,69.8,0.0,757.8,58.7,0.0
Delaware County,Haverford Township,4204533144,2020,49478,371.9,26.3,20.2,392.3,25.5,11.7
Delaware County,Lansdowne Borough,4204541440,2020,10647,892.3,65.7,9.4,852.5,60.1,13.1
